Time,Behaviour
16:49: 14,Pausing
16:49: 19,Pausing
16:49: 35,Spinning
16:49: 40,Spinning
16:50: 08,Spinning
16:50: 13,Spinning
16:50: 53,Spinning
16:50: 58,Spinning
16:51: 05,Pausing
16:51: 10,Pausing
16:51: 39,Pausing
16:51: 44,Pausing
16:52: 06,Spinning
16:52: 11,Spinning
