ID,Time
0,8.1515
6,217.15182
96,219.77045
4,247.8967
132,248.52242
5,248.64667
8,250.01989
12,252.89836
7,314.26754
15,332.14886
14,338.77131
249,375.3994
45,376.89988
13,377.64943
11,391.14666
208,539.7735
