ROS Time,Behaviour
06:50: 47,Pausing
06:50: 52,Pausing
06:50: 55,Pausing
06:51: 00,Pausing
06:51: 07,Pausing
06:51: 12,Pausing
06:52: 02,Pausing
06:52: 07,Pausing
06:53: 14,Pausing
06:53: 19,Pausing
06:53: 19,Spinning
06:53: 24,Spinning
06:53: 32,Spinning
06:53: 37,Spinning
06:53: 41,Spinning
06:53: 46,Spinning
06:54: 53,Spinning
06:54: 58,Spinning
06:56: 26,Pausing
06:56: 31,Pausing
06:57: 44,Pausing
06:57: 49,Pausing
06:58: 57,Pausing
06:59: 02,Pausing
06:59: 03,Pausing
06:59: 08,Pausing
06:59: 13,Pausing
06:59: 18,Pausing
07:00: 09,Spinning
07:00: 14,Spinning
07:00: 23,Pausing
07:00: 28,Pausing
07:01: 34,Spinning
07:01: 39,Spinning
07:01: 49,Pausing
07:01: 54,Pausing
07:01: 54,Spinning
07:01: 59,Spinning
07:02: 06,Pausing
07:02: 11,Pausing
