ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
8,43.38,0,06:49: 40,50,59,0
5,110.38,67.0,06:49: 40,55,14,1
16,110.5,0.12,06:50: 47,60,14,1
0,111.0,0.5,06:50: 47,65,14,1
7,111.13,0.13,06:50: 47,65,14,1
9,111.88,0.75,06:50: 47,70,28,1
5,112.0,0.12,06:50: 47,75,28,1
16,112.25,0.25,06:50: 47,80,28,0
7,113.5,1.25,06:50: 47,85,96,1
0,118.27,4.77,06:50: 48,90,6,1
4,130.63,12.36,06:50: 48,90,9,1
6,130.76,0.13,06:50: 48,95,9,1
4,130.8,0.04,06:50: 48,100,9,1
6,131.13,0.33,06:50: 49,100,9,1
0,131.51,0.38,06:50: 49,100,60,1
8,185.25,53.74,06:50: 50,100,91,1
5,257.76,72.51,06:50: 50,100,0,1
7,258.76,1.0,06:50: 55,100,38,1
5,258.79,0.03,06:51: 07,100,38,1
7,258.88,0.09,06:51: 07,100,38,1
16,263.01,4.13,06:51: 07,100,19,1
6,276.01,13.0,06:51: 07,100,92,1
4,285.01,9.0,06:51: 07,100,83,1
15,356.51,71.5,06:51: 07,100,95,1
5,449.63,93.12,06:51: 07,100,24,1
7,449.75,0.12,06:51: 07,100,24,1
4,450.01,0.26,06:51: 08,100,17,1
14,454.0,3.99,06:52: 02,100,44,1
8,528.0,74.0,06:52: 02,100,21,1
15,529.0,1.0,06:53: 14,100,80,1
8,529.75,0.75,06:53: 14,100,80,1
5,600.38,70.63,06:53: 15,100,0,1
7,602.76,2.38,06:53: 15,100,31,1
0,604.38,1.62,06:53: 15,100,35,1
14,606.38,2.0,06:53: 15,100,52,1
6,617.02,10.64,06:53: 15,100,92,1
0,617.07,0.05,06:53: 15,100,92,1
4,617.26,0.19,06:53: 19,100,30,1
6,617.88,0.62,06:53: 19,100,30,1
15,673.0,55.12,06:53: 32,100,70,1
14,686.25,13.25,06:53: 32,100,10,1
8,686.5,0.25,06:53: 41,100,10,1
7,757.51,71.01,06:53: 41,100,34,1
16,772.63,15.12,06:54: 53,100,16,1
5,773.0,0.37,06:54: 53,100,16,1
0,774.5,1.5,06:56: 26,100,92,1
