ROS Time,Behaviour
23:20: 38,Pausing
23:20: 43,Pausing
23:20: 48,Pausing
23:20: 53,Pausing
23:21: 27,Pausing
23:21: 32,Pausing
23:21: 46,Pausing
23:21: 51,Pausing
23:21: 52,Spinning
23:21: 57,Spinning
23:22: 24,Spinning
23:22: 29,Spinning
23:22: 32,Pausing
23:22: 37,Pausing
23:22: 58,Spinning
23:23: 03,Spinning
23:23: 25,Pausing
23:23: 30,Pausing
23:24: 14,Pausing
23:24: 19,Pausing
23:24: 32,Spinning
23:24: 37,Spinning
23:25: 41,Pausing
23:25: 46,Pausing
23:26: 45,Pausing
23:26: 50,Pausing
23:27: 02,Pausing
23:27: 07,Pausing
23:28: 24,Pausing
23:28: 29,Pausing
