Time,Activity Mode,Probability Value,Activity Level
0.18,0,73,50
1.19,0,79,50
2.19,0,64,50
3.19,1,15,50
4.19,1,44,50
5.2,1,26,50
6.2,1,49,50
7.2,0,91,50
8.2,1,19,50
9.2,0,95,50
10.2,1,23,45
11.2,1,24,45
12.2,0,91,50
13.21,0,90,50
14.21,1,30,50
15.21,1,6,50
16.21,0,71,50
17.21,1,40,50
18.21,1,18,50
19.21,1,36,50
20.22,0,90,50
21.22,1,42,45
22.22,0,97,45
23.22,1,21,45
24.22,0,66,45
25.22,0,46,45
26.22,0,93,45
27.23,1,26,45
28.23,1,29,45
29.23,0,65,45
30.23,0,63,45
31.23,0,73,40
32.23,0,46,40
33.23,0,70,40
34.24,0,44,40
35.24,0,83,40
36.24,1,29,40
37.24,1,22,40
38.24,1,14,40
