Time,Activity Mode,Probability Value,Activity Level
0.19,0,54,50
1.2,1,9,50
2.2,0,66,50
3.2,0,77,50
4.21,1,47,50
5.21,1,50,50
6.21,0,71,50
7.21,0,56,50
8.21,0,95,50
9.21,0,51,50
10.21,1,31,45
11.22,1,18,45
12.22,1,5,45
13.22,0,87,45
14.22,0,65,45
15.22,1,26,45
16.22,0,49,45
17.22,0,89,45
18.23,0,56,50
19.23,1,22,55
20.23,1,50,55
21.23,0,61,55
22.23,1,7,55
23.23,0,95,55
24.23,1,54,55
25.23,1,42,55
26.24,0,96,55
27.24,1,30,55
28.24,0,88,50
29.24,1,3,50
30.24,1,47,50
31.24,0,100,50
32.24,1,43,50
33.25,1,6,50
34.25,1,31,50
35.25,1,49,50
36.25,1,26,50
37.25,0,95,50
38.25,0,94,45
39.25,0,50,45
40.26,0,66,45
41.26,0,58,45
42.26,1,24,45
43.26,1,3,45
44.26,0,54,45
45.26,0,76,45
46.26,1,13,45
47.27,0,86,45
48.27,0,62,40
49.27,1,3,40
50.27,1,10,40
51.27,0,94,40
52.27,0,78,40
53.27,1,1,40
54.28,1,22,40
55.28,1,21,40
56.28,1,32,40
57.28,0,92,40
58.28,0,84,35
59.28,1,16,35
60.29,0,68,35
61.29,0,85,35
62.29,1,10,35
63.29,1,3,35
64.29,0,58,35
65.29,0,56,35
66.29,1,10,35
67.3,0,39,35
68.3,0,60,30
69.3,0,60,30
70.3,1,9,30
71.3,0,88,30
72.3,1,5,30
73.3,0,96,30
74.31,0,74,30
75.31,0,74,30
76.31,1,26,30
77.31,0,57,30
78.31,0,29,25
79.31,1,22,25
80.31,1,25,40
81.31,1,22,40
82.32,1,13,40
83.32,0,88,40
84.32,0,70,40
85.32,1,33,40
86.32,0,64,40
87.32,0,50,40
88.33,0,75,40
89.33,0,64,35
90.33,1,30,35
91.33,0,83,35
92.33,0,39,35
93.33,1,22,35
94.33,0,66,35
95.34,0,74,35
96.34,0,92,35
97.34,0,44,35
98.34,0,79,35
99.34,0,54,30
100.34,1,17,35
101.34,1,38,45
102.35,0,85,45
103.35,0,47,45
104.35,0,50,45
105.35,0,51,45
106.35,1,28,45
107.35,0,66,65
108.35,0,70,65
109.35,1,30,65
110.36,0,94,65
111.36,1,1,65
112.36,0,68,65
113.36,1,52,80
114.36,1,16,80
115.36,1,51,80
116.36,0,88,80
117.37,1,24,80
118.37,1,57,80
119.37,1,30,80
120.37,1,69,80
121.37,1,16,80
122.37,0,99,75
123.37,0,97,75
124.37,1,26,75
125.38,0,92,75
126.38,1,29,75
127.38,1,65,75
128.38,1,7,75
129.38,1,21,75
130.38,1,1,75
131.39,1,74,75
132.39,1,29,70
133.39,1,25,70
134.39,1,4,70
135.39,1,19,70
136.39,0,74,70
137.39,0,72,70
138.4,1,15,70
139.4,0,73,70
140.4,1,49,70
141.4,1,75,75
142.4,0,89,75
143.4,1,14,75
144.4,1,70,75
145.41,1,23,75
146.41,1,71,75
147.41,1,72,75
148.41,1,4,75
149.41,1,2,75
150.41,1,5,70
151.42,1,6,70
152.42,1,13,70
153.42,1,22,70
154.42,1,32,70
155.42,1,62,70
156.42,0,100,70
157.42,1,60,70
158.43,0,90,70
159.43,0,87,70
160.43,1,36,65
161.43,1,53,65
162.43,0,93,65
163.43,1,23,65
164.44,1,30,65
165.44,1,14,65
166.44,1,41,65
167.44,0,86,65
168.44,1,42,65
169.44,0,77,65
170.44,1,12,60
171.45,0,88,60
172.45,0,68,60
173.45,1,1,60
174.45,0,61,60
175.45,0,69,60
176.45,1,45,60
177.45,1,29,60
178.46,1,0,60
179.46,1,52,60
180.46,1,3,55
181.46,0,87,55
182.46,0,86,55
183.46,1,59,60
184.46,0,70,60
185.47,1,29,65
186.47,1,29,65
187.47,0,95,65
188.47,1,44,65
189.47,1,30,65
190.47,1,0,65
191.47,1,3,65
192.48,0,96,65
193.48,1,61,65
194.48,1,32,60
195.48,0,63,60
196.48,1,57,70
197.48,1,49,70
198.48,1,56,70
199.49,0,98,70
200.49,1,38,70
201.49,1,56,70
202.49,0,72,70
203.49,1,66,70
204.49,1,57,75
205.49,0,84,75
206.49,0,85,75
207.5,1,44,75
208.5,1,3,75
209.5,1,4,75
210.5,1,24,75
211.5,1,64,75
212.5,1,45,75
213.5,1,39,70
214.51,1,15,70
215.51,1,14,70
216.51,1,38,70
217.51,1,58,70
218.51,1,40,70
219.51,1,8,70
220.51,1,6,70
221.52,1,56,70
222.52,1,48,70
223.52,1,20,65
224.52,1,40,65
225.52,1,19,65
226.52,1,6,65
227.52,1,36,65
228.53,1,17,65
229.53,0,82,65
230.53,1,5,65
231.53,1,45,65
232.53,0,80,65
233.53,1,45,60
234.53,1,13,60
235.54,1,56,60
236.54,1,50,60
237.54,1,51,60
238.54,1,0,60
239.54,0,98,60
240.54,1,6,60
241.55,1,6,60
242.55,1,17,60
243.55,1,10,55
244.55,0,69,55
245.55,0,64,55
246.55,1,13,55
247.55,1,29,55
248.56,1,28,55
249.56,1,1,55
250.56,1,39,55
251.56,0,99,55
252.56,1,3,55
253.56,1,2,50
254.56,1,44,50
255.57,1,26,50
256.57,0,58,50
257.57,1,16,50
258.57,1,50,50
259.57,0,70,50
260.57,0,58,50
261.57,0,60,50
262.58,0,85,50
263.58,0,78,45
264.58,0,46,45
265.58,1,35,45
266.58,1,26,45
267.58,0,76,45
268.59,0,99,45
269.59,1,9,45
270.59,0,92,45
271.59,1,14,45
272.59,0,79,45
273.59,0,41,40
274.59,0,66,40
275.6,0,63,40
276.6,0,85,40
277.6,0,69,40
278.6,1,10,40
279.6,0,79,40
280.6,1,26,40
281.6,1,1,40
282.61,0,83,40
283.61,1,5,35
284.61,0,91,35
285.61,0,69,40
286.61,0,88,45
287.61,0,61,45
288.61,1,4,45
289.61,0,72,50
290.62,1,28,50
291.62,1,8,50
292.62,1,31,50
293.62,0,88,50
294.62,1,47,50
295.62,0,66,50
296.62,0,73,50
297.63,1,13,50
298.63,0,60,45
299.63,1,7,45
300.63,1,12,45
301.63,1,32,45
302.63,0,51,45
303.64,0,65,45
304.64,1,18,45
305.64,0,60,45
306.64,1,42,45
307.64,1,3,45
308.64,1,8,40
309.64,0,60,40
310.65,0,46,40
311.65,0,77,40
312.65,0,44,40
313.65,0,85,40
314.65,0,76,40
315.65,0,66,40
316.66,0,98,40
317.66,0,56,40
318.66,1,9,35
319.66,0,39,35
320.66,0,91,35
321.66,0,98,35
322.67,0,52,35
323.67,0,49,35
324.67,0,72,35
325.67,0,69,35
326.67,1,32,35
327.67,0,47,35
328.67,0,39,30
329.68,0,50,30
330.68,0,73,30
331.68,0,67,30
332.68,1,19,30
333.68,1,2,30
334.68,1,28,30
335.68,1,0,30
336.69,0,80,30
337.69,0,42,30
338.69,0,51,25
339.69,0,46,25
340.69,0,51,25
341.69,1,17,25
342.69,0,73,25
343.7,0,40,25
344.7,1,20,25
345.7,0,68,25
346.7,0,33,25
347.7,0,64,25
348.7,1,15,20
