Time,Activity Mode,Probability Value,Activity Level
317.67,0,53,5
318.67,0,48,5
319.68,0,48,5
320.68,0,54,5
321.68,0,67,5
322.68,0,80,5
323.68,0,100,5
324.68,0,51,5
325.68,0,13,5
326.69,0,74,0
327.69,0,75,0
328.69,0,2,0
329.69,0,57,0
330.69,0,65,0
331.69,0,75,0
332.7,0,60,0
333.7,0,24,0
334.7,0,69,0
335.7,0,54,0
336.7,0,63,0
337.7,0,93,0
338.7,0,45,0
339.71,0,45,0
340.71,0,38,0
341.71,0,36,0
342.71,0,11,0
343.71,0,91,0
344.71,0,7,0
345.72,0,60,0
346.72,0,71,0
347.72,0,35,0
348.72,0,98,0
349.72,0,73,0
350.72,0,78,0
351.72,0,73,0
352.73,0,36,0
353.73,0,54,0
354.73,0,67,0
355.73,0,91,0
356.73,0,59,0
357.73,0,70,0
358.74,0,66,0
359.74,0,15,0
360.74,0,42,0
361.74,0,46,0
362.74,0,20,0
363.74,0,43,0
364.75,0,86,0
365.75,0,61,0
366.75,0,27,0
367.75,0,87,0
368.75,0,20,5
369.75,0,32,15
370.75,0,65,15
371.76,0,51,15
372.76,0,39,15
373.76,1,17,20
374.76,1,14,20
375.76,0,83,20
376.76,0,63,20
377.76,0,78,20
378.77,1,19,20
379.77,0,33,20
380.77,1,20,20
381.77,0,43,20
382.77,0,42,15
383.77,0,87,15
384.78,0,91,15
385.78,0,74,15
386.78,0,52,15
387.78,0,16,15
388.78,0,93,15
389.78,0,28,15
390.78,0,24,15
391.79,1,2,15
392.79,0,72,35
393.79,0,68,35
394.79,0,100,35
395.79,0,42,35
396.79,1,34,35
397.79,1,34,35
398.79,0,98,35
399.8,1,5,35
400.8,1,21,35
401.8,0,94,35
402.8,0,78,30
403.8,1,21,30
404.8,0,36,30
405.8,0,87,30
406.8,1,1,30
407.81,0,72,30
408.81,1,5,30
409.81,0,47,30
410.81,0,70,30
411.81,1,9,30
412.81,0,74,25
413.82,0,59,25
414.82,0,80,25
415.82,1,23,25
416.82,0,32,25
417.82,1,15,25
418.82,0,51,25
419.83,0,73,25
420.83,0,66,25
421.83,1,0,25
422.83,0,74,20
423.83,1,2,20
424.83,0,57,20
425.83,0,50,20
426.84,0,44,20
427.84,0,93,20
428.84,0,34,20
429.85,1,7,20
430.85,0,85,20
431.85,0,98,20
432.85,0,17,15
433.85,0,79,15
434.85,0,58,15
435.85,0,29,15
436.86,0,24,15
437.86,0,57,15
438.86,0,95,15
439.86,0,51,15
440.86,0,92,15
441.86,0,66,15
442.86,0,15,10
443.86,0,99,10
444.87,1,4,10
445.87,0,46,10
446.87,0,30,10
447.87,0,40,10
448.87,0,40,10
449.87,0,83,10
450.88,0,42,10
451.88,0,18,10
452.88,0,16,5
453.88,0,50,5
454.88,0,88,5
455.88,0,55,5
456.89,0,69,5
457.89,0,50,5
458.89,0,11,5
459.89,0,38,5
460.89,0,59,5
461.89,0,9,5
462.89,0,21,0
463.9,0,98,10
464.9,0,58,10
465.9,0,35,10
466.9,1,2,10
467.9,0,62,10
468.9,0,80,10
469.9,0,58,10
470.91,0,42,10
471.91,0,98,10
472.91,0,30,10
473.91,0,62,5
474.91,0,74,10
475.91,0,79,10
476.91,0,86,10
477.92,1,16,20
478.92,0,84,20
479.92,1,3,20
480.92,1,5,20
481.92,0,90,20
482.92,0,23,20
483.92,0,24,20
484.93,0,69,20
485.93,1,5,20
486.93,0,74,20
487.93,0,51,15
488.93,0,52,15
489.93,0,21,15
490.93,0,35,15
491.93,0,47,15
492.94,0,39,15
493.94,1,11,15
494.94,1,3,15
495.94,0,36,15
496.94,0,69,15
497.94,0,97,10
498.94,0,90,10
499.95,0,90,10
500.95,1,8,10
501.95,0,62,10
502.95,0,25,10
503.95,0,21,10
504.95,0,27,10
505.95,0,57,10
506.96,0,46,10
507.96,0,96,5
508.96,0,7,5
509.96,0,46,5
510.96,0,86,5
511.96,0,14,5
512.96,0,30,5
513.97,0,63,5
514.97,0,12,5
515.97,0,60,5
516.97,0,7,5
517.97,0,11,0
518.98,0,44,0
519.98,0,11,0
520.98,0,4,0
521.98,0,79,0
522.98,0,8,0
523.98,0,83,0
524.99,0,11,0
525.99,0,90,0
526.99,0,35,0
527.99,0,93,0
528.99,0,74,0
529.99,0,66,0
530.99,0,63,0
532.0,0,67,0
533.0,0,89,0
534.0,0,70,0
535.0,0,26,0
536.0,0,61,0
537.0,0,54,0
538.0,0,68,0
539.01,0,86,0
540.01,0,37,0
541.01,0,80,0
542.01,0,86,0
