ID,Time,Timesince,ROS Time,Behave Val,Random No,State
2,12.88,0,15:07: 07,50,1,1
4,13.63,0.75,15:07: 07,55,1,1
16,33.38,19.75,15:07: 07,60,33,1
5,48.88,15.5,15:07: 07,55,37,1
6,59.88,11.0,15:07: 27,50,13,1
8,113.38,53.5,15:07: 27,45,36,1
4,113.5,0.12,15:07: 43,40,36,1
8,113.75,0.25,15:07: 43,45,36,1
3,130.63,16.88,15:07: 54,50,56,2
12,131.25,0.62,15:07: 54,45,56,2
0,132.38,1.13,15:08: 47,50,56,1
17,147.63,15.25,15:08: 47,50,47,1
4,148.67,1.04,15:08: 47,45,3,1
12,148.75,0.08,15:08: 47,50,3,1
17,148.81,0.06,15:08: 48,55,3,1
15,162.25,13.44,15:08: 48,60,22,1
10,195.75,33.5,15:09: 04,55,16,1
1,209.38,13.63,15:09: 04,50,47,1
4,209.63,0.25,15:09: 05,45,47,1
1,209.88,0.25,15:09: 05,50,47,2
6,212.75,2.87,15:09: 06,55,90,1
5,266.38,53.63,15:09: 21,60,5,2
9,277.38,11.0,15:09: 21,55,92,2
8,330.13,52.75,15:09: 22,50,91,2
4,330.25,0.12,15:09: 22,45,91,2
8,330.34,0.09,15:09: 23,50,91,1
12,354.25,23.91,15:09: 23,55,36,1
3,354.38,0.13,15:09: 23,50,36,2
17,373.75,19.37,15:09: 23,55,66,2
15,393.63,19.88,15:09: 36,50,83,1
17,427.25,33.62,15:09: 36,45,33,2
6,437.88,10.63,15:10: 10,40,83,2
10,438.0,0.12,15:10: 10,35,83,1
4,450.88,12.88,15:10: 23,40,19,1
1,451.5,0.62,15:10: 23,35,19,1
3,452.0,0.5,15:10: 23,40,19,1
