ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
3,20.52,0,05:28: 33,35,12,1
0,31.27,10.75,05:28: 33,35,70,0
1,54.27,23.0,05:28: 44,15,35,0
2,107.02,52.75,05:29: 07,0,66,0
4,157.27,50.25,05:29: 07,0,73,0
6,159.65,2.38,05:30: 00,0,43,0
