ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
8,44.25,0,07:55: 05,0,22,0
7,44.38,0.13,07:55: 05,5,66,0
5,108.75,64.37,07:55: 05,0,54,0
16,111.13,2.38,07:55: 05,0,34,0
0,122.5,11.37,07:56: 09,0,33,0
6,122.63,0.13,07:56: 09,0,33,0
4,122.67,0.04,07:56: 12,0,33,0
6,122.75,0.08,07:56: 12,0,33,0
0,123.25,0.5,07:56: 23,0,33,0
15,200.87,77.62,07:56: 23,0,61,0
5,237.51,36.64,07:56: 23,0,86,0
7,238.63,1.12,07:56: 23,0,40,0
5,239.13,0.5,07:56: 23,0,40,0
7,240.25,1.12,07:56: 23,0,96,0
14,240.5,0.25,07:56: 23,0,96,0
4,240.88,0.38,07:56: 24,0,79,0
16,240.91,0.03,07:57: 41,0,79,0
3,241.5,0.59,07:57: 41,0,79,0
4,241.63,0.13,07:58: 18,0,42,0
5,241.75,0.12,07:58: 18,0,42,0
7,241.88,0.13,07:58: 19,0,42,0
6,250.88,9.0,07:58: 19,0,65,0
0,251.01,0.13,07:58: 20,0,65,0
15,299.38,48.37,07:58: 20,0,63,0
8,300.25,0.87,07:58: 21,0,76,0
15,329.13,28.88,07:58: 21,0,84,0
16,367.63,38.5,07:58: 21,0,7,0
5,368.38,0.75,07:58: 21,0,42,0
7,369.75,1.37,07:58: 21,0,63,0
14,370.75,1.0,07:58: 21,0,30,0
7,370.88,0.13,07:58: 21,0,1,0
5,370.92,0.04,07:58: 21,0,1,0
0,379.5,8.58,07:58: 22,0,95,0
4,379.75,0.25,07:58: 22,0,95,0
6,380.13,0.38,07:58: 22,0,75,0
3,499.25,119.12,07:58: 22,0,79,0
5,499.88,0.63,07:58: 22,0,79,0
7,500.01,0.13,07:58: 22,0,47,0
0,500.63,0.62,07:58: 22,0,47,0
6,510.63,10.0,07:58: 22,0,67,0
4,510.67,0.04,07:58: 31,0,67,0
8,564.0,53.33,07:58: 31,0,44,0
16,634.13,70.13,07:58: 32,0,36,0
5,634.63,0.5,07:59: 20,0,78,0
