Time,Behaviour
17:26: 50,Spinning
17:26: 55,Spinning
17:26: 59,Pausing
17:27: 04,Pausing
17:27: 35,Pausing
17:27: 40,Pausing
17:29: 09,Pausing
17:29: 14,Pausing
17:30: 15,Spinning
17:30: 20,Spinning
17:30: 48,Spinning
17:30: 53,Spinning
17:31: 18,Spinning
17:31: 23,Spinning
