ROS Time,Behaviour
00:32: 55,Pausing
00:33: 00,Pausing
00:33: 07,Spinning
00:33: 12,Spinning
00:33: 50,Spinning
00:33: 55,Spinning
00:34: 00,Spinning
00:34: 05,Spinning
00:34: 08,Pausing
00:34: 13,Pausing
00:34: 57,Spinning
00:35: 02,Spinning
00:35: 10,Spinning
00:35: 15,Spinning
00:35: 21,Spinning
00:35: 26,Spinning
00:35: 37,Pausing
00:35: 42,Pausing
00:35: 46,Spinning
00:35: 51,Spinning
00:38: 28,Spinning
00:38: 33,Spinning
00:38: 36,Pausing
00:38: 41,Pausing
00:38: 43,Pausing
00:38: 48,Pausing
00:39: 00,Spinning
00:39: 05,Spinning
00:39: 18,Pausing
00:39: 23,Pausing
