ROS Time,Behaviour
02:29: 15,Spinning
02:29: 20,Spinning
02:29: 35,Pausing
02:29: 40,Pausing
02:31: 11,Spinning
02:31: 16,Spinning
02:31: 34,Spinning
02:31: 39,Spinning
02:32: 00,Pausing
02:32: 05,Pausing
02:33: 55,Pausing
02:34: 00,Pausing
02:34: 02,Pausing
02:34: 07,Pausing
02:34: 17,Pausing
02:34: 22,Pausing
02:35: 08,Spinning
02:35: 13,Spinning
02:36: 23,Pausing
02:36: 28,Pausing
02:36: 34,Pausing
02:36: 39,Pausing
02:36: 46,Pausing
02:36: 51,Pausing
02:38: 49,Pausing
02:38: 54,Pausing
