ROS Time,Behaviour
06:00: 59,Spinning
06:01: 04,Spinning
06:01: 42,Pausing
06:01: 47,Pausing
06:01: 48,Pausing
06:01: 53,Pausing
06:02: 48,Spinning
06:02: 53,Spinning
06:03: 00,Pausing
06:03: 05,Pausing
06:03: 14,Pausing
06:03: 19,Pausing
06:04: 14,Pausing
06:04: 19,Pausing
06:04: 21,Pausing
06:04: 26,Pausing
06:04: 33,Spinning
06:04: 38,Spinning
06:04: 40,Pausing
06:04: 45,Pausing
06:05: 29,Spinning
06:05: 34,Spinning
06:06: 56,Spinning
06:07: 01,Spinning
06:07: 03,Pausing
06:07: 08,Pausing
06:07: 52,Pausing
06:07: 57,Pausing
06:07: 57,Spinning
06:08: 02,Spinning
06:08: 07,Spinning
06:08: 12,Spinning
06:09: 35,Pausing
06:09: 40,Pausing
06:10: 29,Spinning
06:10: 34,Spinning
