ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
1,9.04,0,00:09: 43,50,91,0
16,19.42,10.38,00:09: 43,55,36,1
4,48.04,28.62,00:09: 53,60,50,1
5,48.67,0.63,00:09: 53,65,3,1
6,101.8,53.13,00:10: 22,70,3,1
9,118.67,16.87,00:10: 22,75,33,1
8,118.92,0.25,00:10: 22,80,33,1
6,118.96,0.04,00:10: 22,85,33,1
9,125.8,6.84,00:11: 15,90,55,1
12,150.92,25.12,00:11: 15,95,97,0
4,151.18,0.26,00:11: 32,100,97,0
7,151.3,0.12,00:11: 32,100,97,0
12,151.55,0.25,00:11: 32,100,98,1
7,151.59,0.04,00:11: 32,100,98,1
15,188.79,37.2,00:11: 32,100,61,1
10,224.3,35.51,00:11: 32,100,72,1
8,238.3,14.0,00:11: 39,100,4,1
1,247.92,9.62,00:11: 39,100,90,1
4,248.17,0.25,00:12: 04,100,90,1
1,248.42,0.25,00:12: 04,100,90,1
6,249.17,0.75,00:12: 05,100,59,1
5,311.3,62.13,00:12: 05,100,74,1
0,311.54,0.24,00:12: 05,100,74,1
16,329.8,18.26,00:12: 05,100,98,1
16,338.92,9.12,00:12: 05,100,2,1
8,368.68,29.76,00:12: 05,100,53,1
6,394.8,26.12,00:12: 05,100,17,1
9,409.42,14.62,00:12: 05,100,5,1
12,432.8,23.38,00:12: 42,100,75,1
7,432.85,0.05,00:12: 42,100,94,1
12,432.92,0.07,00:13: 18,100,94,1
7,432.96,0.04,00:13: 18,100,94,1
10,433.3,0.34,00:13: 32,100,94,1
0,433.42,0.12,00:13: 32,100,94,1
15,463.67,30.25,00:13: 41,100,67,1
16,526.55,62.88,00:13: 41,100,77,1
