ID,Time,Timesince,ROS Time,beHave Val,State
4,9.5,0,15:39: 05,0,2
5,16.37,6.87,15:39: 05,0,2
16,39.25,22.88,15:39: 12,0,2
3,49.49,10.24,15:39: 12,0,2
9,80.25,30.76,15:39: 35,0,2
13,109.87,29.62,15:39: 35,0,2
