ID,Time,Timesince,ROS Time,beHave Val,State
15,1.22,0,15:23: 24,0,1
17,18.84,17.62,15:23: 24,0,1
10,27.34,8.5,15:23: 42,0,1
4,27.72,0.38,15:23: 42,0,1
0,29.21,1.49,15:23: 50,0,1
