ID,Time,Timesince,ROS Time,Behave Val,Random No,State
1,20.26,0,16:46: 50,50,26,1
2,27.51,7.25,16:46: 50,55,60,2
5,50.14,22.63,16:46: 57,50,37,1
4,65.01,14.87,16:46: 57,45,77,2
16,69.39,4.38,16:47: 20,40,65,2
9,91.89,22.5,16:47: 20,45,23,1
8,103.77,11.88,16:47: 35,40,31,1
0,113.39,9.62,16:47: 35,35,89,2
13,125.77,12.38,16:47: 39,35,55,2
