ID,Time,Timesince,ROS Time,beHave Val,State
15,35.73,0,15:41: 50,0,2
17,53.98,18.25,15:41: 50,0,2
10,75.23,21.25,15:42: 08,0,2
12,81.85,6.62,15:42: 08,0,2
9,85.35,3.5,15:42: 29,0,2
1,97.23,11.88,15:42: 29,0,2
3,98.1,0.87,15:42: 36,0,2
2,129.35,31.25,15:42: 36,0,1
