ROS Time,Behaviour
20:46: 42,Spinning
20:46: 47,Spinning
20:47: 51,Pausing
20:47: 56,Pausing
20:48: 01,Spinning
20:48: 06,Spinning
20:50: 13,Pausing
20:50: 18,Pausing
20:51: 18,Pausing
20:51: 23,Pausing
20:52: 14,Spinning
20:52: 19,Spinning
20:52: 27,Spinning
20:52: 32,Spinning
20:52: 35,Pausing
20:52: 40,Pausing
20:53: 27,Pausing
20:53: 32,Pausing
