ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
2,21.35,0,19:15: 37,35,64,2
15,22.63,1.28,19:15: 38,40,37,2
16,35.73,13.1,19:15: 38,35,79,2
9,117.48,81.75,19:15: 38,0,37,2
12,118.23,0.75,19:15: 51,0,37,2
10,171.36,53.13,19:15: 51,0,3,2
4,171.87,0.51,19:17: 13,0,45,2
10,171.98,0.11,19:17: 13,5,45,2
1,186.35,14.37,19:17: 13,0,27,2
8,187.48,1.13,19:17: 13,0,59,2
16,236.35,48.87,19:18: 06,0,70,2
5,249.98,13.63,19:18: 06,0,72,2
4,250.1,0.12,19:18: 07,0,72,2
5,250.48,0.38,19:18: 07,5,72,2
6,310.61,60.13,19:18: 07,0,12,2
8,311.73,1.12,19:18: 07,0,91,2
9,312.85,1.12,19:18: 21,5,79,2
12,327.98,15.13,19:18: 21,0,74,2
14,328.1,0.12,19:18: 23,0,74,2
12,328.36,0.26,19:18: 23,5,74,2
7,328.4,0.04,19:19: 11,10,74,2
15,351.35,22.95,19:19: 11,0,10,2
10,382.35,31.0,19:19: 25,0,13,2
0,383.73,1.38,19:19: 25,0,48,2
10,383.85,0.12,19:19: 25,0,86,2
1,399.35,15.5,19:19: 25,0,38,2
16,443.6,44.25,19:19: 26,0,15,2
4,456.73,13.13,19:19: 26,0,92,2
5,457.48,0.75,19:20: 26,0,75,2
0,458.1,0.62,19:20: 26,5,72,2
4,458.23,0.13,19:20: 27,5,72,2
5,458.27,0.04,19:20: 27,10,72,2
8,491.1,32.83,19:20: 28,0,4,2
6,507.85,16.75,19:20: 28,0,19,2
9,515.6,7.75,19:20: 43,0,89,2
12,524.11,8.51,19:20: 43,0,76,2
7,524.73,0.62,19:20: 43,0,76,2
12,524.98,0.25,19:20: 43,5,76,2
14,537.73,12.75,19:20: 43,0,22,2
15,541.6,3.87,19:20: 43,0,6,2
10,593.35,51.75,19:20: 43,0,68,2
4,594.23,0.88,19:20: 44,0,77,2
