ID,Time,Timesince,ROS Time,Activity Level,Random No,Activity Mode
4,38.8,0,23:30: 05,35,25,1
5,39.88,1.08,23:30: 05,40,24,1
0,40.13,0.25,23:30: 06,45,24,1
14,41.0,0.87,23:30: 06,45,17,0
7,101.51,60.51,23:30: 06,20,94,0
6,128.51,27.0,23:30: 07,10,58,0
0,128.64,0.13,23:30: 07,10,58,0
6,128.77,0.13,23:31: 07,10,58,0
4,128.81,0.04,23:31: 07,15,58,0
8,167.88,39.07,23:31: 34,5,9,0
15,168.01,0.13,23:31: 34,5,9,0
12,220.88,52.87,23:31: 34,0,2,0
0,221.26,0.38,23:31: 34,0,2,0
2,222.63,1.37,23:31: 35,0,11,0
4,281.26,58.63,23:31: 35,0,75,0
5,283.13,1.87,23:31: 35,0,95,0
3,319.01,35.88,23:32: 14,0,9,0
7,335.51,16.5,23:32: 14,0,19,0
0,335.64,0.13,23:32: 14,0,19,0
5,336.14,0.5,23:32: 14,0,72,0
7,336.26,0.12,23:33: 07,5,72,0
